Hotel Name,Country,Image URL,Image Source,Description,Rating,Price per night (USD)
Zedwell Piccadilly Circus,London,zedwell.jpeg,Trip Advisor,"Zedwell is a new hotel lifestyle concept designed to promote sleep, positive health & wellbeing. Zedwell is your private sanctuary amongst the chaos of the city, transporting you into a calm & balanced state of mind. Always affordable & always great urban locations. Removing anxiety & distractions so you sleep easy. The hotel you check-in to tune out. Zedwell is proud to donate 2% of sales to charities that support education for underprivileged and disadvantaged communities across Britain.",3.5,109
Hotel MX centro,Mexico,mx-centro.jpg,Trip Advisor,"Set in Mexico City, within 984 feet of Zocalo Square and 1312 feet of National Palace Mexico, Hotel MX centro features accommodations with a fitness center and free WiFi. The property is around 1312 feet from Metropolitan Cathedral of Mexico City, 1969 feet from Tenochtitlan Ceremonial Center and 2625 feet from Murales de Diego Rivera en la Secretaría de Educación Pública. Palacio de Correos is less than 0.6 mi from the hotel.",4.5,52
Hotel Resol Trinity Kyoto,Japan,resol-trinity.jpg,Trip Advisor,"Opened in October, 2018.
We are located on the Fuyacho Street, which is lined with well-established inns loved by historical figures, in a quiet residential area.
The whole area still retains its old-Kyoto flavor.
You can fully enjoy walking to Kyotogosho (Kyoto Imperial Palace), Nijo-jo (Nijo Castle), and world famous busy streets such as Kawaracho and Gion",4.3,125
Araya Totoan,Japan,araya-totoan.jpg,Trip Advisor,"Araya Totoan`history extends back to 1639, starting with an order by the ruler of the Maeda Family, to protect the Yamashiro hot spring, which he owned. We have been running for 18th generations. You can enjoy Kitaoji Rosanjin`s works, Kutani ware and contemporary arts in everywhere our ryokan. Our ryokan is located in very near from Kanazawa-city, 30 min by train, and from Komatsu airpot, 30 min by car. We hope our guests are able to feel the essence of traditional Japanese ryokan, and will offer you stillness,cleaness, a comfortable and relaxed environment.",4.8,464
Four Seasons Hotel Seoul,Korea,four-seasons-seoul.jpg,American Express,"Relax in the South Korean capital’s largest luxury hotel accommodations. Four Seasons Hotel Seoul offers 317 spacious guest rooms, including 43 suites – all with high-tech convenience, spa-like bathrooms and customizable Four Seasons beds. Floor-to-ceiling windows flood the interiors with natural light, while highlighting impressive views of the cityscape.",4.5,441
Makarma Resort Lombok,Indonesia,makarma-resort-lombok.jpg,Trip Advisor,"Makarma Resort Lombok has a garden, shared lounge, a restaurant and bar in Senggigi. Featuring an outdoor swimming pool, this property is located a short distance from Montong Beach, Batu Bolong Beach and Senggigi Beach. The property has a 24-hour front desk, airport transportation, room service and free WiFi.

An à la carte, Asian or vegan breakfast is served at the property.

The area is popular for cycling, and bike rental is available at this 2-star hotel.

Bangsal Harbor is 17 miles from the hotel, while Narmada Park is 13 miles from the property. The nearest airport is Lombok International Airport, 26 miles from Makarma Resort Lombok.",4.5,8
Hotel Fasano Punta Del Este,Uruguay,fasano-punta.jpg,Booking.com,"The Fasano group’s international expansion begins in Punta del Este, with the hotel Fasano Punta del Este in one of the most extraordinary locations in Uruguay. The Fasano family brings its century old tradition in fine cuisine and in the art of serving to its new development in Punta del Este, one of the most elegant coastal towns in South America. Located in La Barra, the hotel Fasano Punta del Este was projected on an area overlooking the Maldonado River, with breathtaking views and surrounded by exuberant nature where you can enjoy one of the most spectacular sunsets of the Uruguayan coast. Architecture and interiors designed by Isay Weinfeld, also responsible for the hotel Fasano São Paulo, the project rescues the elegance of this countryside property once owned by the traditional Braun family.",4.7,392
Hard Rock Hotel Ibiza,Spain,hard-rock-hotel-ibiza.jpg,Trip Advisor,"At Hard Rock Hotel Ibiza, you really are a superstar. Relax in world-class surroundings, indulge yourself in our unique features, and be pampered to the hilt. Ibiza has that great island vibe, with some of the most beautiful beaches in Spain, indeed, the World. Hard Rock Hotel Ibiza resort is the perfect place to stay in the Heaven on Earth that is the overwhelming Island of Ibiza. From fascinating musical memorabilia to luxurious massages, we offer all the little touches to make your experience with us even more fun.",4.5,320
Cap Rocat,Spain,cap-rocat.jpg,Trip Advisor,"Located in a fortress built for the surveillance of the Bay of Palma, Cap Rocat posed a great challenge in terms of its restoration, which involved transforming the facilities into a hotel as well as complying with the strict regulations governing a building declared a Heritage Asset and listed as a National Monument. The fortress lies within a Protected Natural Area and blends perfectly into the landscape. Cap Rocat has been completely renovated by Antonio Obrador with the utmost respect for its unique architecture and its natural surroundings. The project has received the Europa Nostra Award, among other accolades.",4.7,1716
Bungalows Castillo Beach Park,Spain,castillo-beach.jpg,Trip Advisor,"We are a large urbanization of tourist apartments located on the hill of El Castillo - Caleta de Fuste. Prepare to connect with tranquility, relax and enjoy the good weather in our large solariums and swimming pools, ideal for adults and children. We are sure that we can offer the best offer and value for money for holiday accommodation in Fuerteventura, especially in the tourist area of ??Caleta de Fuste and, if not, we will refund your money the first day, after check-in. We want you to feel independence and the feeling of being in your little summer house, relaxation, health, sports; We have a small tennis court, a gym, a multi-sports area, a massage area with body treatments and a restaurant with international cuisine. The ground floor apartments have an individual terrace surrounded by an indigenous garden with Canarian palm trees, hibiscus, cactus, aloes vera, picon; all the apartments have a master bedroom, we offer exclusive apartments with two bedrooms, both with an individual bathroom, a living room with a sofa bed and a full kitchen. You can walk to the supermarket located just two streets away, forgetting about large restaurant expenses during your vacation. The apartments have a cleaning kit, set of sheets and towels with changes every two days, they are cleaned and disinfected by a professional team at every change of client. Just let yourself go. We have a laundry area: avoid traveling and pay for being overweight and suitcases, invest your money in something more pleasant during your vacation or business trip.",3.0,35
Shangri-La Ulaanbaatar,Mongolia,shangri-la.jpg,Remote Lands,"Shangri-La Ulaanbaatar, is located right in the heart of the city centre - making it an ideal base for both business and leisure travellers. Shangri-La Ulaanbaatar is integrated part of the Shangri-La Centre which includes Sports Club with latest equipments, the largest swimming pool and Adventure Zone, Shopping mall, IMAX Cinema, luxury residents and office building.",4.6,350
Courtyard by Marriott Baku,Azerbaijan,courtyard-by-marriott.jpg,Trip Advisor,"Designed for today's discerning traveler, Courtyard Baku is a stylish 4 star hotel and ideal starting point for exploring Azerbaijan's vibrant capital city. Famous landmarks such as Heydar Aliyev Center, the Maiden Tower, and Nizami Street are all within reach of our Azerbaijan hotel. Relax in your spacious hotel room after a day of sightseeing or maintain your routine at our 24/7 fitness center. Once you're ready to fuel up, stop by BESH Gastropub, our signature dining destination, to savor global as well as local specialties, helping you discover the flavors of Baku. Head to our on-site shop to buy drinks and snacks throughout the day and unwind in our modern guest rooms equipped with plush bedding, free Wi-Fi, a mini refrigerator, a safe and onsite parking. If you are in Baku for business, make use of our meeting rooms, all enhanced by comprehensive conference facilities. Whether you're traveling for business or pleasure, Courtyard Baku will ensure your needs are met with signature Marriott standards.",4.5,90
Pyramid Continental Hotel,South Sudan,pyramid-continental-hotel.jpg,Trip Advisor,"The most desired five-star hotel in South Sudan! Apart from our unique design, luxurious surroundings, world class service and state-of-the-art facilities, The Pyramid Continental Hotel is defined by memorable experiences, spacious rooms, exceptional dining and spectacular views of Juba City and the White Nile River. SPACIOUS & COMFORTABLE ACCOMMODATION Uncompromising standards combined with thoughtfully curated amenities are offered in our 183 spacious luxury guest rooms and suites. We offer a variety of room types to cater for your needs, from Classic Rooms to Royal Suite. Our rooms and suites have outstanding views of the river bank and Juba City. CONFERENCE, MEETINGS AND EVENTS Pyramid Continental Hotel features modern conference and meeting facilities, with state-of-the-art amenities and equipment. The meeting rooms are perfect for various gatherings; from small social functions, mid-size meetings and conferences to big events, equipped with the latest audio/visual equipment, broadband Internet services and conference stationery.",4.5,254
Hilton Queenstown Resort & Spa,New Zeland,hilton-quuenstown.jpg,Trip Advisor,"Situated directly on the shores of Lake Wakatipu, the resort boasts famous waterfront and mountain views. Each of the spacious rooms and fully-equipped residence apartments offer a gas fireplace, separate lounge area and private balcony to satisfy any travel needs. Take the water taxi into town, rejuvenate in the opulent onsite spa facility or simply relax by the 25-metre indoor heated pool with steam and sauna rooms. While the five bars and restaurants including the signature Wakatipu Grill provide sought-after dining options in magnificent settings to complete a truly memorable stay.",4.5,111
Dominican Fiesta Hotel Santo Domingo,Dominican Republic,fiesta-hotel.jpg,Trip Advisor,"Located in the finest residential area of Santo Domingo, this sophisticated hotel has 271 rooms with all modern conveniences. A few minutes from the colonial part of town, its location, along with the art facilities and quality, offering the perfect environment for the discerning traveler looking for comfort and style in the heart of Santo Domingo. The Dominican Fiesta Hotel & Casino has all the facilities and services necessary for an unforgettable: 24 hour reception, currency exchange, fax and telephone service*, Laundry*, increases in category (upon availability)* and much, much more. *Additional cost. 271 spacious, elegant and equipped with all modern luxuries. Executive floor with check-in and check-out private, cocktail hour and more. Large pool with separate children's area, sports and fitness. 24-hour room service, delicious restaurant and bar for entertaining.",4.0,80
